motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FWD,n_BWD,n_LAT,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
5763648,mixed,mix->FWD,mix,FWD,2,1,1,1802,12,2.774,1271,0.705,AL,1,2,2,"[ALL2, AL.GNGL1] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.GNG,1,AL.LH,2,AL.MB,2
4590874,mixed,mix->FWD,mix,FWD,2,1,1,1802,60,3.578,1271,0.705,AL,1,2,2,"[ALL2, AL.PENPL1] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.PENP,1,AL.LH,2,AL.MB,2
2868608,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,34,4.356,1309,0.726,AL,1,2,2,"[ALL2, AL.VLNPL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.VLNP,2,AL.LH,2,AL.MB,2
2827241,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,55,6.139,1309,0.726,AL,1,2,2,"[ALL2, AL.LHL2] -> ALL1 -> [AL.MBL2, AL.VLNPL2]",AL,2,AL.LH,2,AL.MB,2,AL.VLNP,2
2667240,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,39,4.028,1309,0.726,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.LHL2, AL.VLNPL2]",AL,2,AL.MB,2,AL.LH,2,AL.VLNP,2
2086715,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,28,4.532,1309,0.726,AL,1,2,2,"[AL.LHL2, AL.VLNPL2] -> ALL1 -> [ALL2, AL.MBL2]",AL.LH,2,AL.VLNP,2,AL,2,AL.MB,2
2072196,mixed,mix->FWD,mix,FWD,2,1,1,1802,17,5.002,1270,0.705,AL,1,2,2,"[ALL2, AL.SNPL1] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.SNP,1,AL.LH,2,AL.MB,2
2044396,mixed,mix->FWD,mix,FWD,2,1,1,1802,31,4.89,1270,0.705,AL,1,2,2,"[ALL2, AL.INPL1] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.INP,1,AL.LH,2,AL.MB,2
1933632,mixed,mix->FWD,mix,FWD,2,1,1,1802,10,4.385,1270,0.705,AL,1,2,2,"[ALL2, AL.LHL1] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.LH,1,AL.LH,2,AL.MB,2
1749134,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,7,2.257,2076,1.152,AL,1,2,2,"[ALL2, GNGL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,GNG,2,AL.LH,2,AL.MB,2
1557101,mixed,mix->FWD,mix,FWD,2,1,1,1802,34,7.94,1271,0.705,AL,1,2,2,"[AL.LHL2, AL.PENPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.LH,2,AL.PENP,1,AL,2,AL.MB,2
1295540,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,9,2.78,1360,0.755,AL,1,2,2,"[ALL2, LHL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,LH,2,AL.LH,2,AL.MB,2
1222735,mixed,mix->FWD,mix,FWD,2,1,1,1802,11,6.304,1271,0.705,AL,1,2,2,"[AL.GNGL1, AL.LHL2] -> ALL1 -> [ALL2, AL.MBL2]",AL.GNG,1,AL.LH,2,AL,2,AL.MB,2
1191910,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,22,4.383,1309,0.726,AL,1,2,2,"[AL.MBL2, AL.VLNPL2] -> ALL1 -> [ALL2, AL.LHL2]",AL.MB,2,AL.VLNP,2,AL,2,AL.LH,2
1184757,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,35,7.561,1309,0.726,AL,1,2,2,"[AL.LHL2, AL.MBL2] -> ALL1 -> [ALL2, AL.VLNPL2]",AL.LH,2,AL.MB,2,AL,2,AL.VLNP,2
1139916,mixed,mix->FWD,mix,FWD,2,1,1,1802,31,7.639,1271,0.705,AL,1,2,2,"[AL.MBL2, AL.PENPL1] -> ALL1 -> [ALL2, AL.LHL2]",AL.MB,2,AL.PENP,1,AL,2,AL.LH,2
1079289,mixed,mix->FWD,mix,FWD,2,1,1,1802,9,3.729,1271,0.705,AL,1,2,2,"[AL.GNGL1, AL.MBL2] -> ALL1 -> [ALL2, AL.LHL2]",AL.GNG,1,AL.MB,2,AL,2,AL.LH,2
965353,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,6,2.327,1273,0.706,AL,1,2,2,"[ALL2, AL.MBL2] -> ALL1 -> [AL.GNGL2, AL.LHL2]",AL,2,AL.MB,2,AL.GNG,2,AL.LH,2
938766,mixed,BWD->FWD,BWD,FWD,2,2,0,1802,10,3.95,1295,0.719,AL,1,2,2,"[ALL2, AL.SNPL2] -> ALL1 -> [AL.LHL2, AL.MBL2]",AL,2,AL.SNP,2,AL.LH,2,AL.MB,2
900254,mixed,mix->FWD,mix,FWD,2,1,1,1802,17,8.306,1270,0.705,AL,1,2,2,"[AL.LHL2, AL.SNPL1] -> ALL1 -> [ALL2, AL.MBL2]",AL.LH,2,AL.SNP,1,AL,2,AL.MB,2
34601831,mixed,mix->mix,mix,mix,2,0,2,908,92,14.553,2197,2.42,AL,2,2,2,"[ALL1, AL.LHL2] -> ALL2 -> [ALL3, AL.MBL2]",AL,1,AL.LH,2,AL,3,AL.MB,2
33807174,mixed,mix->LAT,mix,LAT,1,1,2,908,129,11.678,2197,2.42,AL,2,2,2,"[ALL1, ALL3] -> ALL2 -> [AL.LHL2, AL.MBL2]",AL,1,AL,3,AL.LH,2,AL.MB,2
28866748,mixed,mix->mix,mix,mix,2,0,2,908,92,25.432,2197,2.42,AL,2,2,2,"[ALL1, AL.MBL2] -> ALL2 -> [ALL3, AL.LHL2]",AL,1,AL.MB,2,AL,3,AL.LH,2
25810739,mixed,LAT->mix,LAT,mix,1,1,2,908,95,14.453,2197,2.42,AL,2,2,2,"[AL.LHL2, AL.MBL2] -> ALL2 -> [ALL1, ALL3]",AL.LH,2,AL.MB,2,AL,1,AL,3
17012396,mixed,mix->mix,mix,mix,0,2,2,908,102,21.969,2197,2.42,AL,2,2,2,"[ALL3, AL.MBL2] -> ALL2 -> [ALL1, AL.LHL2]",AL,3,AL.MB,2,AL,1,AL.LH,2
16752204,mixed,mix->mix,mix,mix,0,2,2,908,101,23.676,2197,2.42,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [ALL1, AL.MBL2]",AL,3,AL.LH,2,AL,1,AL.MB,2
15838771,mixed,mix->LAT,mix,LAT,1,0,3,908,45,5.345,2203,2.426,AL,2,2,2,"[ALL1, AL.VLNPL2] -> ALL2 -> [AL.LHL2, AL.MBL2]",AL,1,AL.VLNP,2,AL.LH,2,AL.MB,2
8388908,mixed,mix->LAT,mix,LAT,1,0,3,908,67,11.595,2203,2.426,AL,2,2,2,"[ALL1, AL.LHL2] -> ALL2 -> [AL.MBL2, AL.VLNPL2]",AL,1,AL.LH,2,AL.MB,2,AL.VLNP,2
7498937,mixed,mix->LAT,mix,LAT,1,0,3,908,65,10.574,2203,2.426,AL,2,2,2,"[ALL1, AL.MBL2] -> ALL2 -> [AL.LHL2, AL.VLNPL2]",AL,1,AL.MB,2,AL.LH,2,AL.VLNP,2
6051266,mixed,mix->mix,mix,mix,2,0,2,908,37,4.807,2025,2.23,AL,2,2,2,"[ALL1, AL.VLNPL2] -> ALL2 -> [ALL3, AL.MBL2]",AL,1,AL.VLNP,2,AL,3,AL.MB,2
5320131,mixed,LAT->mix,LAT,mix,0,1,3,908,38,10.53,2203,2.426,AL,2,2,2,"[AL.LHL2, AL.VLNPL2] -> ALL2 -> [ALL1, AL.MBL2]",AL.LH,2,AL.VLNP,2,AL,1,AL.MB,2
5017292,mixed,LAT->mix,LAT,mix,0,1,3,908,36,8.397,2203,2.426,AL,2,2,2,"[AL.MBL2, AL.VLNPL2] -> ALL2 -> [ALL1, AL.LHL2]",AL.MB,2,AL.VLNP,2,AL,1,AL.LH,2
4841131,mixed,FWD->LAT,FWD,LAT,2,0,2,908,76,9.789,2165,2.384,AL,2,2,2,"[ALL1, AL.PENPL1] -> ALL2 -> [AL.LHL2, AL.MBL2]",AL,1,AL.PENP,1,AL.LH,2,AL.MB,2
4401685,mixed,LAT->mix,LAT,mix,0,1,3,908,71,16.5,2203,2.426,AL,2,2,2,"[AL.LHL2, AL.MBL2] -> ALL2 -> [ALL1, AL.VLNPL2]",AL.LH,2,AL.MB,2,AL,1,AL.VLNP,2
