motif_count,hourglass_type,signature,fanin_sig,fanout_sig,n_FF,n_FB,n_lat,n_waist,n_waist_active,n_waist_eff,n_periphery,compression,bottleneck_area,bottleneck_level,k_in,k_out,structure_str,fan_in_0_area,fan_in_0_level,fan_in_1_area,fan_in_1_level,fan_out_0_area,fan_out_0_level,fan_out_1_area,fan_out_1_level
712532,mixed,mix->lat,mix,lat,0,1,3,908,62,22.745,418,0.46,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.PLPL2]",AL,3,AL.MB_CA,2,AL.LH,2,AL.PLP,2
674557,mixed,mix->lat,mix,lat,0,1,3,908,61,24.079,418,0.46,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.PLPL2]",AL,3,AL.LH,2,AL.MB_CA,2,AL.PLP,2
463770,mixed,mix->lat,mix,lat,0,1,3,908,28,16.74,418,0.46,AL,2,2,2,"[ALL3, AL.PLPL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,AL.PLP,2,AL.LH,2,AL.MB_CA,2
310459,mixed,mix->lat,mix,lat,0,1,3,908,18,8.659,394,0.434,AL,2,2,2,"[ALL3, LH.ALL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,LH.AL,2,AL.LH,2,AL.MB_CA,2
178024,mixed,mix->lat,mix,lat,0,1,3,908,28,14.221,482,0.531,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, LHL2]",AL,3,AL.MB_CA,2,AL.LH,2,LH,2
170001,mixed,mix->lat,mix,lat,0,1,3,908,19,11.192,392,0.432,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.VESL2]",AL,3,AL.MB_CA,2,AL.LH,2,AL.VES,2
163776,mixed,mix->lat,mix,lat,0,1,3,908,19,11.297,392,0.432,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.VESL2]",AL,3,AL.LH,2,AL.MB_CA,2,AL.VES,2
156942,mixed,mix->lat,mix,lat,0,1,3,908,26,15.733,482,0.531,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, LHL2]",AL,3,AL.LH,2,AL.MB_CA,2,LH,2
148624,mixed,mix->lat,mix,lat,0,1,3,908,11,6.721,397,0.437,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.WEDL2]",AL,3,AL.MB_CA,2,AL.LH,2,AL.WED,2
124523,mixed,mix->lat,mix,lat,0,1,3,908,13,6.808,397,0.437,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.WEDL2]",AL,3,AL.LH,2,AL.MB_CA,2,AL.WED,2
437459,mixed,mix->mix,mix,mix,1,1,2,908,32,6.516,463,0.51,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.LHL3]",AL,3,AL.MB_CA,2,AL.LH,2,AL.LH,3
344287,mixed,mix->mix,mix,mix,1,1,2,908,31,7.029,463,0.51,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.LHL3, AL.MB_CAL2]",AL,3,AL.LH,2,AL.LH,3,AL.MB_CA,2
313838,mixed,mix->mix,mix,mix,1,1,2,908,25,11.25,393,0.433,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.SMPL3]",AL,3,AL.MB_CA,2,AL.LH,2,AL.SMP,3
293781,mixed,mix->mix,mix,mix,1,1,2,908,25,11.808,393,0.433,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.SMPL3]",AL,3,AL.LH,2,AL.MB_CA,2,AL.SMP,3
126734,mixed,mix->mix,mix,mix,1,1,2,908,15,8.565,391,0.431,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, AL.SIPL3]",AL,3,AL.MB_CA,2,AL.LH,2,AL.SIP,3
124115,mixed,mix->mix,mix,mix,1,1,2,908,15,8.141,391,0.431,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, AL.SIPL3]",AL,3,AL.LH,2,AL.MB_CA,2,AL.SIP,3
108323,mixed,mix->mix,mix,mix,1,1,2,908,18,5.293,973,1.072,AL,2,2,2,"[ALL3, AL.MB_CAL2] -> ALL2 -> [AL.LHL2, LHL3]",AL,3,AL.MB_CA,2,AL.LH,2,LH,3
99930,mixed,mix->mix,mix,mix,1,1,2,908,15,5.433,973,1.072,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [AL.MB_CAL2, LHL3]",AL,3,AL.LH,2,AL.MB_CA,2,LH,3
81429,mixed,mix->mix,mix,mix,1,1,2,908,7,4.356,973,1.072,AL,2,2,2,"[AL.LHL2, LHL3] -> ALL2 -> [ALL3, AL.MB_CAL2]",AL.LH,2,LH,3,AL,3,AL.MB_CA,2
79497,mixed,mix->mix,mix,mix,1,1,2,908,7,4.01,973,1.072,AL,2,2,2,"[AL.MB_CAL2, LHL3] -> ALL2 -> [ALL3, AL.LHL2]",AL.MB_CA,2,LH,3,AL,3,AL.LH,2
52929,mixed,mix->FF,mix,FF,2,1,1,908,3,1.555,2669,2.939,AL,2,2,2,"[ALL3, LHL2] -> ALL2 -> [LHL3, MB_CA.MB_MLL3]",AL,3,LH,2,LH,3,MB_CA.MB_ML,3
50283,mixed,mix->FF,mix,FF,2,1,1,908,4,1.466,2785,3.067,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [LHL3, MB_CA.MB_MLL3]",AL,3,AL.LH,2,LH,3,MB_CA.MB_ML,3
41736,mixed,mix->FF,mix,FF,2,1,1,908,3,1.56,2738,3.015,AL,2,2,2,"[ALL3, LHL2] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL,3,LH,2,LH.SLP,3,MB_CA.MB_ML,3
39888,mixed,mix->FF,mix,FF,2,1,1,908,4,1.485,2854,3.143,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL,3,AL.LH,2,LH.SLP,3,MB_CA.MB_ML,3
32154,mixed,mix->FF,mix,FF,2,1,1,908,3,1.466,3286,3.619,AL,2,2,2,"[LHL2, LHL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",LH,2,LH,3,LH.SLP,3,MB_CA.MB_ML,3
30348,mixed,mix->FF,mix,FF,2,1,1,908,4,1.354,3402,3.747,AL,2,2,2,"[AL.LHL2, LHL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL.LH,2,LH,3,LH.SLP,3,MB_CA.MB_ML,3
28575,mixed,mix->FF,mix,FF,2,1,1,908,3,2.038,2366,2.606,AL,2,2,2,"[ALL3, LHL2] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_PEDL3]",AL,3,LH,2,MB_CA.MB_ML,3,MB_CA.MB_PED,3
23577,mixed,mix->FF,mix,FF,2,1,1,908,4,1.864,2482,2.733,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_PEDL3]",AL,3,AL.LH,2,MB_CA.MB_ML,3,MB_CA.MB_PED,3
21863,mixed,mix->FF,mix,FF,2,1,1,908,7,2.498,1482,1.632,AL,2,2,2,"[ALL3, AL.LHL2] -> ALL2 -> [LHL3, LH.SLPL3]",AL,3,AL.LH,2,LH,3,LH.SLP,3
21558,mixed,mix->FF,mix,FF,2,1,1,908,3,1.951,2914,3.209,AL,2,2,2,"[LHL2, LHL3] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_PEDL3]",LH,2,LH,3,MB_CA.MB_ML,3,MB_CA.MB_PED,3
61970,mixed,FB->lat,FB,lat,0,2,2,908,9,3.935,463,0.51,AL,2,2,2,"[ALL3, AL.LHL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,AL.LH,3,AL.LH,2,AL.MB_CA,2
60828,mixed,FB->lat,FB,lat,0,2,2,908,7,3.925,973,1.072,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,LH,3,AL.LH,2,AL.MB_CA,2
33690,mixed,FB->lat,FB,lat,0,2,2,908,3,2.662,1256,1.383,AL,2,2,2,"[ALL3, GNGL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,GNG,3,AL.LH,2,AL.MB_CA,2
27560,mixed,FB->lat,FB,lat,0,2,2,908,5,3.168,390,0.43,AL,2,2,2,"[ALL3, AL.VESL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,AL.VES,3,AL.LH,2,AL.MB_CA,2
26298,mixed,FB->lat,FB,lat,0,2,2,908,4,1.181,2210,2.434,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_VLL2]",AL,3,LH,3,MB_CA.MB_ML,2,MB_CA.MB_VL,2
22711,mixed,FB->lat,FB,lat,0,2,2,908,7,2.075,390,0.43,AL,2,2,2,"[ALL3, SLP.ALL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,SLP.AL,3,AL.LH,2,AL.MB_CA,2
9550,mixed,FB->lat,FB,lat,0,2,2,908,2,1.0,390,0.43,AL,2,2,2,"[ALL3, AL.IPSL3] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL,3,AL.IPS,3,AL.LH,2,AL.MB_CA,2
7962,mixed,FB->lat,FB,lat,0,2,2,908,4,2.846,1973,2.173,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [AL.LHL2, MB_CA.MB_MLL2]",AL,3,LH,3,AL.LH,2,MB_CA.MB_ML,2
5148,mixed,FB->lat,FB,lat,0,2,2,908,3,2.081,1857,2.045,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [LHL2, MB_CA.MB_MLL2]",AL,3,LH,3,LH,2,MB_CA.MB_ML,2
5004,mixed,FB->lat,FB,lat,0,2,2,908,4,1.397,1841,2.028,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_PEDL2]",AL,3,LH,3,MB_CA.MB_ML,2,MB_CA.MB_PED,2
89568,mixed,FB->mix,FB,mix,1,2,1,908,4,2.261,3720,4.097,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",AL,3,LH,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3
36478,mixed,FB->mix,FB,mix,1,2,1,908,4,1.161,3022,3.328,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL2]",AL,3,LH,3,MB_CA.MB_ML,3,MB_CA.MB_VL,2
22746,mixed,FB->mix,FB,mix,1,2,1,908,4,2.417,2417,2.662,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL2]",AL,3,LH,3,LH.SLP,3,MB_CA.MB_ML,2
19920,mixed,FB->mix,FB,mix,1,2,1,908,1,1.0,3160,3.48,AL,2,2,2,"[ALL3, MB_CAL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",AL,3,MB_CA,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3
17856,mixed,FB->mix,FB,mix,1,2,1,908,4,2.127,2045,2.252,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_PEDL3]",AL,3,LH,3,MB_CA.MB_ML,2,MB_CA.MB_PED,3
17634,mixed,FB->mix,FB,mix,1,2,1,908,5,1.991,2785,3.067,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [AL.LHL2, MB_CA.MB_MLL3]",AL,3,LH,3,AL.LH,2,MB_CA.MB_ML,3
15936,mixed,FB->mix,FB,mix,1,2,1,908,1,1.0,3708,4.084,AL,2,2,2,"[LHL3, MB_CAL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",LH,3,MB_CA,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3
12984,mixed,FB->mix,FB,mix,1,2,1,908,3,1.563,2669,2.939,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [LHL2, MB_CA.MB_MLL3]",AL,3,LH,3,LH,2,MB_CA.MB_ML,3
12096,mixed,FB->mix,FB,mix,1,2,1,908,3,1.302,2184,2.405,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL2, MB_CA.MB_VLL3]",AL,3,LH,3,MB_CA.MB_ML,2,MB_CA.MB_VL,3
10526,mixed,FB->mix,FB,mix,1,2,1,908,3,1.547,2646,2.914,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [LH.SLPL2, MB_CA.MB_MLL3]",AL,3,LH,3,LH.SLP,2,MB_CA.MB_ML,3
56474,mixed,FB->FF,FB,FF,2,2,0,908,4,1.615,3229,3.556,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL,3,LH,3,LH.SLP,3,MB_CA.MB_ML,3
37716,mixed,FB->FF,FB,FF,2,2,0,908,5,2.081,2857,3.146,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_PEDL3]",AL,3,LH,3,MB_CA.MB_ML,3,MB_CA.MB_PED,3
27390,mixed,FB->FF,FB,FF,2,2,0,908,1,1.0,2600,2.863,AL,2,2,2,"[ALL3, MB_CAL3] -> ALL2 -> [LHL3, MB_CA.MB_MLL3]",AL,3,MB_CA,3,LH,3,MB_CA.MB_ML,3
21580,mixed,FB->FF,FB,FF,2,2,0,908,1,1.0,2669,2.939,AL,2,2,2,"[ALL3, MB_CAL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL,3,MB_CA,3,LH.SLP,3,MB_CA.MB_ML,3
19932,mixed,FB->FF,FB,FF,2,2,0,908,3,1.649,2996,3.3,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_VLL3]",AL,3,LH,3,MB_CA.MB_ML,3,MB_CA.MB_VL,3
17864,mixed,FB->FF,FB,FF,2,2,0,908,5,2.33,2706,2.98,AL,2,2,2,"[ALL3, LHL3] -> ALL2 -> [MB_CA.CREL3, MB_CA.MB_MLL3]",AL,3,LH,3,MB_CA.CRE,3,MB_CA.MB_ML,3
17264,mixed,FB->FF,FB,FF,2,2,0,908,1,1.0,3217,3.543,AL,2,2,2,"[LHL3, MB_CAL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",LH,3,MB_CA,3,LH.SLP,3,MB_CA.MB_ML,3
13695,mixed,FB->FF,FB,FF,2,2,0,908,1,1.0,2628,2.894,AL,2,2,2,"[ALL3, MB_MLL3] -> ALL2 -> [LHL3, MB_CA.MB_MLL3]",AL,3,MB_ML,3,LH,3,MB_CA.MB_ML,3
10790,mixed,FB->FF,FB,FF,2,2,0,908,1,1.0,2297,2.53,AL,2,2,2,"[ALL3, MB_CAL3] -> ALL2 -> [MB_CA.MB_MLL3, MB_CA.MB_PEDL3]",AL,3,MB_CA,3,MB_CA.MB_ML,3,MB_CA.MB_PED,3
10790,mixed,FB->FF,FB,FF,2,2,0,908,1,1.0,2697,2.97,AL,2,2,2,"[ALL3, MB_MLL3] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL,3,MB_ML,3,LH.SLP,3,MB_CA.MB_ML,3
930376,mixed,lat->mix,lat,mix,1,0,3,908,59,25.259,418,0.46,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.PLPL2]",AL.LH,2,AL.MB_CA,2,AL,3,AL.PLP,2
627556,mixed,lat->mix,lat,mix,1,0,3,908,27,14.204,418,0.46,AL,2,2,2,"[AL.MB_CAL2, AL.PLPL2] -> ALL2 -> [ALL3, AL.LHL2]",AL.MB_CA,2,AL.PLP,2,AL,3,AL.LH,2
584222,mixed,lat->mix,lat,mix,1,0,3,908,27,16.482,418,0.46,AL,2,2,2,"[AL.LHL2, AL.PLPL2] -> ALL2 -> [ALL3, AL.MB_CAL2]",AL.LH,2,AL.PLP,2,AL,3,AL.MB_CA,2
366368,mixed,lat->mix,lat,mix,1,0,3,908,17,11.336,394,0.434,AL,2,2,2,"[AL.LHL2, LH.ALL2] -> ALL2 -> [ALL3, AL.MB_CAL2]",AL.LH,2,LH.AL,2,AL,3,AL.MB_CA,2
354088,mixed,lat->mix,lat,mix,1,0,3,908,17,10.746,394,0.434,AL,2,2,2,"[AL.MB_CAL2, LH.ALL2] -> ALL2 -> [ALL3, AL.LHL2]",AL.MB_CA,2,LH.AL,2,AL,3,AL.LH,2
235861,mixed,lat->mix,lat,mix,1,0,3,908,16,9.583,392,0.432,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.VESL2]",AL.LH,2,AL.MB_CA,2,AL,3,AL.VES,2
192066,mixed,lat->mix,lat,mix,1,0,3,908,30,15.58,482,0.531,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, LHL2]",AL.LH,2,AL.MB_CA,2,AL,3,LH,2
188554,mixed,lat->mix,lat,mix,1,0,3,908,12,7.436,397,0.437,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.WEDL2]",AL.LH,2,AL.MB_CA,2,AL,3,AL.WED,2
145085,mixed,lat->mix,lat,mix,1,0,3,908,17,7.061,390,0.43,AL,2,2,2,"[AL.MB_CAL2, SAD.ALL2] -> ALL2 -> [ALL3, AL.LHL2]",AL.MB_CA,2,SAD.AL,2,AL,3,AL.LH,2
144352,mixed,lat->mix,lat,mix,1,0,3,908,25,2.443,456,0.502,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.LHL3, AL.PLPL2]",AL.LH,2,AL.MB_CA,2,AL.LH,3,AL.PLP,2
566336,mixed,lat->FF,lat,FF,2,0,2,908,27,10.244,463,0.51,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.LHL3]",AL.LH,2,AL.MB_CA,2,AL,3,AL.LH,3
348632,mixed,lat->FF,lat,FF,2,0,2,908,25,14.46,393,0.433,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.SMPL3]",AL.LH,2,AL.MB_CA,2,AL,3,AL.SMP,3
152002,mixed,lat->FF,lat,FF,2,0,2,908,15,10.214,391,0.431,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.SIPL3]",AL.LH,2,AL.MB_CA,2,AL,3,AL.SIP,3
122364,mixed,lat->FF,lat,FF,2,0,2,908,16,5.967,973,1.072,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, LHL3]",AL.LH,2,AL.MB_CA,2,AL,3,LH,3
91002,mixed,lat->FF,lat,FF,2,0,2,908,13,2.633,431,0.475,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.LHL3, AL.SMPL3]",AL.LH,2,AL.MB_CA,2,AL.LH,3,AL.SMP,3
73968,mixed,lat->FF,lat,FF,2,0,2,908,6,3.151,390,0.43,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [ALL3, AL.VESL3]",AL.LH,2,AL.MB_CA,2,AL,3,AL.VES,3
39092,mixed,lat->FF,lat,FF,2,0,2,908,6,1.149,1011,1.113,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.LHL3, LHL3]",AL.LH,2,AL.MB_CA,2,AL.LH,3,LH,3
28095,mixed,lat->FF,lat,FF,2,0,2,908,3,1.279,2842,3.13,AL,2,2,2,"[AL.LHL2, LHL2] -> ALL2 -> [LHL3, MB_CA.MB_MLL3]",AL.LH,2,LH,2,LH,3,MB_CA.MB_ML,3
22152,mixed,lat->FF,lat,FF,2,0,2,908,3,1.282,2911,3.206,AL,2,2,2,"[AL.LHL2, LHL2] -> ALL2 -> [LH.SLPL3, MB_CA.MB_MLL3]",AL.LH,2,LH,2,LH.SLP,3,MB_CA.MB_ML,3
16157,mixed,lat->FF,lat,FF,2,0,2,908,4,1.703,941,1.036,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.SMPL3, LHL3]",AL.LH,2,AL.MB_CA,2,AL.SMP,3,LH,3
123951,pure_lateral,lat->lat,lat,lat,0,0,4,908,14,7.415,387,0.426,AL,2,2,2,"[AL.PLPL2, LH.ALL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL.PLP,2,LH.AL,2,AL.LH,2,AL.MB_CA,2
47274,pure_lateral,lat->lat,lat,lat,0,0,4,908,4,3.922,360,0.396,AL,2,2,2,"[LH.ALL2, PLP.ALL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",LH.AL,2,PLP.AL,2,AL.LH,2,AL.MB_CA,2
45245,pure_lateral,lat->lat,lat,lat,0,0,4,908,15,8.554,387,0.426,AL,2,2,2,"[AL.LHL2, LH.ALL2] -> ALL2 -> [AL.MB_CAL2, AL.PLPL2]",AL.LH,2,LH.AL,2,AL.MB_CA,2,AL.PLP,2
44880,pure_lateral,lat->lat,lat,lat,0,0,4,908,19,4.296,475,0.523,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.PLPL2, LHL2]",AL.LH,2,AL.MB_CA,2,AL.PLP,2,LH,2
41939,pure_lateral,lat->lat,lat,lat,0,0,4,908,15,7.139,385,0.424,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.PLPL2, AL.VESL2]",AL.LH,2,AL.MB_CA,2,AL.PLP,2,AL.VES,2
41196,pure_lateral,lat->lat,lat,lat,0,0,4,908,4,3.865,384,0.423,AL,2,2,2,"[AL.PLPL2, PLP.ALL2] -> ALL2 -> [AL.LHL2, AL.MB_CAL2]",AL.PLP,2,PLP.AL,2,AL.LH,2,AL.MB_CA,2
39591,pure_lateral,lat->lat,lat,lat,0,0,4,908,13,7.709,387,0.426,AL,2,2,2,"[AL.MB_CAL2, LH.ALL2] -> ALL2 -> [AL.LHL2, AL.PLPL2]",AL.MB_CA,2,LH.AL,2,AL.LH,2,AL.PLP,2
32922,pure_lateral,lat->lat,lat,lat,0,0,4,908,6,2.146,387,0.426,AL,2,2,2,"[AL.LHL2, AL.MB_CAL2] -> ALL2 -> [AL.PLPL2, LH.ALL2]",AL.LH,2,AL.MB_CA,2,AL.PLP,2,LH.AL,2
32563,pure_lateral,lat->lat,lat,lat,0,0,4,908,11,7.478,385,0.424,AL,2,2,2,"[AL.LHL2, AL.PLPL2] -> ALL2 -> [AL.MB_CAL2, AL.VESL2]",AL.LH,2,AL.PLP,2,AL.MB_CA,2,AL.VES,2
30189,pure_lateral,lat->lat,lat,lat,0,0,4,908,11,7.152,385,0.424,AL,2,2,2,"[AL.MB_CAL2, AL.PLPL2] -> ALL2 -> [AL.LHL2, AL.VESL2]",AL.MB_CA,2,AL.PLP,2,AL.LH,2,AL.VES,2
360164,mixed,mix->FB,mix,FB,1,3,0,36,13,3.331,1270,35.278,AL,3,2,2,"[ALL4, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.LHL2]",AL,4,AL.MB_CA,2,AL,2,AL.LH,2
287849,mixed,mix->FB,mix,FB,1,3,0,36,13,2.445,1270,35.278,AL,3,2,2,"[ALL4, AL.LHL2] -> ALL3 -> [ALL2, AL.MB_CAL2]",AL,4,AL.LH,2,AL,2,AL.MB_CA,2
255949,mixed,mix->FB,mix,FB,1,3,0,36,15,2.798,1270,35.278,AL,3,2,2,"[ALL2, ALL4] -> ALL3 -> [AL.LHL2, AL.MB_CAL2]",AL,2,AL,4,AL.LH,2,AL.MB_CA,2
55225,mixed,mix->FB,mix,FB,1,2,1,36,1,1.0,1262,35.056,AL,3,2,2,"[AL.MB_CAL2, AL.VESL3] -> ALL3 -> [ALL2, AL.LHL2]",AL.MB_CA,2,AL.VES,3,AL,2,AL.LH,2
55225,mixed,mix->FB,mix,FB,1,2,1,36,1,1.0,1262,35.056,AL,3,2,2,"[AL.MB_CAL2, FB.LOL3] -> ALL3 -> [ALL2, AL.LHL2]",AL.MB_CA,2,FB.LO,3,AL,2,AL.LH,2
32000,mixed,mix->FB,mix,FB,1,2,1,36,1,1.0,1262,35.056,AL,3,2,2,"[ALL2, AL.VESL3] -> ALL3 -> [AL.LHL2, AL.MB_CAL2]",AL,2,AL.VES,3,AL.LH,2,AL.MB_CA,2
32000,mixed,mix->FB,mix,FB,1,2,1,36,1,1.0,1262,35.056,AL,3,2,2,"[ALL2, FB.LOL3] -> ALL3 -> [AL.LHL2, AL.MB_CAL2]",AL,2,FB.LO,3,AL.LH,2,AL.MB_CA,2
31960,mixed,mix->FB,mix,FB,1,2,1,36,1,1.0,1262,35.056,AL,3,2,2,"[AL.LHL2, AL.VESL3] -> ALL3 -> [ALL2, AL.MB_CAL2]",AL.LH,2,AL.VES,3,AL,2,AL.MB_CA,2
31960,mixed,mix->FB,mix,FB,1,2,1,36,1,1.0,1262,35.056,AL,3,2,2,"[AL.LHL2, FB.LOL3] -> ALL3 -> [ALL2, AL.MB_CAL2]",AL.LH,2,FB.LO,3,AL,2,AL.MB_CA,2
20323,mixed,mix->FB,mix,FB,1,3,0,36,4,1.312,1090,30.278,AL,3,2,2,"[ALL4, AL.MB_CAL2] -> ALL3 -> [ALL2, AL.PLPL2]",AL,4,AL.MB_CA,2,AL,2,AL.PLP,2
57024,mixed,mix->mix,mix,mix,2,0,2,36,1,1.0,3788,105.222,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [LHL4, MB_CA.MB_MLL3]",AL,2,LH,3,LH,4,MB_CA.MB_ML,3
28512,mixed,mix->mix,mix,mix,1,1,2,36,1,1.0,4592,127.556,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [MB_CA.MB_MLL2, MB_CA.MB_MLL3]",AL,2,LH,3,MB_CA.MB_ML,2,MB_CA.MB_ML,3
21384,mixed,mix->mix,mix,mix,2,0,2,36,1,1.0,3810,105.833,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [LH.SLPL4, MB_CA.MB_MLL3]",AL,2,LH,3,LH.SLP,4,MB_CA.MB_ML,3
20736,mixed,mix->mix,mix,mix,2,0,2,36,1,1.0,2485,69.028,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [LHL4, LH.SLPL3]",AL,2,LH,3,LH,4,LH.SLP,3
20736,mixed,mix->mix,mix,mix,2,1,1,36,1,1.0,2976,82.667,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [LHL4, MB_CA.MB_MLL2]",AL,2,LH,3,LH,4,MB_CA.MB_ML,2
14256,mixed,mix->mix,mix,mix,1,1,2,36,1,1.0,3657,101.583,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [AL.LHL2, MB_CA.MB_MLL3]",AL,2,LH,3,AL.LH,2,MB_CA.MB_ML,3
14256,mixed,mix->mix,mix,mix,1,1,2,36,1,1.0,3477,96.583,AL,3,2,2,"[ALL2, LHL3] -> ALL3 -> [AL.PLPL2, MB_CA.MB_MLL3]",AL,2,LH,3,AL.PLP,2,MB_CA.MB_ML,3
